orderid,orderdate,shipmode,customerid,productid,category,subcategory,quantity,profit,discountpercentage,price
CA-2017-106180,2017-09-18,Standard Class,SH-19975,OFF-EN-10004030,Office Supplies,Envelopes,3,5.1,0,10.86
CA-2017-106180,2017-09-18,Standard Class,SH-19975,OFF-PA-10004327,Office Supplies,Paper,3,68.98,0,143.7
CA-2017-155376,2017-12-22,Standard Class,SG-20080,OFF-AP-10001058,Office Supplies,Appliances,3,218.25,0,839.43
CA-2015-110744,2015-09-07,Standard Class,HA-14920,OFF-ST-10003656,Office Supplies,Storage,7,20.16,0,671.93
CA-2014-110072,2014-10-22,Standard Class,MG-17680,FUR-FU-10000521,Furniture,Furnishings,4,12.91,20,93.89
CA-2016-114489,2016-12-05,Standard Class,JE-16165,TEC-PH-10000215,Technology,Phones,11,103.8,0,384.45
CA-2016-114489,2016-12-05,Standard Class,JE-16165,TEC-PH-10001448,Technology,Phones,3,6.0,0,149.97
CA-2016-114489,2016-12-05,Standard Class,JE-16165,FUR-CH-10000454,Furniture,Chairs,8,585.55,0,1951.84
CA-2016-114489,2016-12-05,Standard Class,JE-16165,OFF-BI-10002735,Office Supplies,Binders,5,80.63,0,171.55
CA-2016-158834,2016-03-13,First Class,TW-21025,OFF-AP-10000326,Office Supplies,Appliances,5,17.77,20,157.92
CA-2016-158834,2016-03-13,First Class,TW-21025,TEC-PH-10001254,Technology,Phones,2,15.24,20,203.18
CA-2015-124919,2015-05-31,First Class,SP-20650,OFF-PA-10001950,Office Supplies,Paper,7,26.27,0,58.38
CA-2015-124919,2015-05-31,First Class,SP-20650,OFF-PA-10002254,Office Supplies,Paper,4,48.54,0,105.52
CA-2015-124919,2015-05-31,First Class,SP-20650,OFF-ST-10001590,Office Supplies,Storage,6,21.03,0,80.88
CA-2015-118948,2015-05-28,Standard Class,NK-18490,OFF-AR-10001547,Office Supplies,Art,3,1.79,0,6.63
CA-2014-104269,2014-03-01,Second Class,DB-13060,FUR-CH-10004063,Furniture,Chairs,2,51.48,20,457.57
CA-2016-114104,2016-11-20,Standard Class,NP-18670,OFF-LA-10002475,Office Supplies,Labels,2,6.87,0,14.62
CA-2016-114104,2016-11-20,Standard Class,NP-18670,TEC-PH-10004536,Technology,Phones,7,236.23,0,944.93
CA-2016-162733,2016-05-11,First Class,TT-21070,OFF-PA-10002751,Office Supplies,Paper,1,2.69,0,5.98
CA-2015-119697,2015-12-28,Second Class,EM-13960,TEC-AC-10003657,Technology,Accessories,2,1.36,20,54.38
CA-2016-154508,2016-11-16,Standard Class,RD-19900,OFF-EN-10001990,Office Supplies,Envelopes,5,13.35,0,28.4
CA-2016-113817,2016-11-07,Standard Class,MJ-17740,OFF-BI-10004002,Office Supplies,Binders,2,9.69,20,27.68
CA-2014-139892,2014-09-08,Standard Class,BM-11140,OFF-AR-10004441,Office Supplies,Art,3,2.73,20,9.94
CA-2014-139892,2014-09-08,Standard Class,BM-11140,TEC-MA-10000822,Technology,Machines,8,-1359.99,40,8159.95
CA-2014-139892,2014-09-08,Standard Class,BM-11140,OFF-ST-10000991,Office Supplies,Storage,3,-58.63,20,275.93
CA-2014-139892,2014-09-08,Standard Class,BM-11140,FUR-CH-10004287,Furniture,Chairs,9,-24.86,30,1740.06
CA-2014-139892,2014-09-08,Standard Class,BM-11140,OFF-AR-10002656,Office Supplies,Art,6,6.81,20,32.06
CA-2014-139892,2014-09-08,Standard Class,BM-11140,OFF-AP-10002518,Office Supplies,Appliances,5,-453.85,80,177.98
CA-2014-139892,2014-09-08,Standard Class,BM-11140,TEC-PH-10003931,Technology,Phones,3,9.0,20,143.98
CA-2014-118962,2014-08-05,Standard Class,CS-12130,OFF-PA-10000659,Office Supplies,Paper,3,9.84,0,20.94
CA-2014-118962,2014-08-05,Standard Class,CS-12130,OFF-PA-10001144,Office Supplies,Paper,2,53.26,0,110.96
CA-2014-118962,2014-08-05,Standard Class,CS-12130,FUR-CH-10003817,Furniture,Chairs,7,21.26,20,340.14
US-2014-100853,2014-09-14,Standard Class,JB-15400,OFF-AP-10000891,Office Supplies,Appliances,2,-131.12,80,52.45
US-2014-100853,2014-09-14,Standard Class,JB-15400,OFF-LA-10003148,Office Supplies,Labels,4,6.55,20,20.16
US-2017-152366,2017-04-21,Second Class,SJ-20500,OFF-AP-10002684,Office Supplies,Appliances,4,-243.16,80,97.26
US-2015-101511,2015-11-21,Second Class,JE-15745,FUR-CH-10004698,Furniture,Chairs,7,-11.34,30,396.8
US-2015-101511,2015-11-21,Second Class,JE-15745,OFF-SU-10002189,Office Supplies,Supplies,5,-3.77,20,15.88
CA-2015-137225,2015-12-15,Standard Class,JK-15640,OFF-AR-10001940,Office Supplies,Art,1,1.41,0,3.28
CA-2014-166191,2014-12-05,Second Class,DK-13150,OFF-ST-10003455,Office Supplies,Storage,2,1.86,20,24.82
CA-2014-166191,2014-12-05,Second Class,DK-13150,TEC-AC-10004659,Technology,Accessories,7,76.64,20,408.74
CA-2014-158274,2014-11-19,Second Class,RM-19675,TEC-PH-10003273,Technology,Phones,4,131.03,0,503.96
CA-2014-158274,2014-11-19,Second Class,RM-19675,TEC-PH-10004896,Technology,Phones,5,41.99,0,149.95
CA-2014-158274,2014-11-19,Second Class,RM-19675,TEC-AC-10002345,Technology,Accessories,2,7.25,0,29.0
CA-2016-105018,2016-11-28,Standard Class,SK-19990,OFF-BI-10001890,Office Supplies,Binders,2,3.44,0,7.16
CA-2014-123260,2014-08-26,Standard Class,FM-14290,TEC-AC-10002323,Technology,Accessories,8,22.98,0,176.8
CA-2016-157000,2016-07-16,Standard Class,AM-10360,OFF-ST-10001328,Office Supplies,Storage,3,3.72,20,37.22
CA-2016-157000,2016-07-16,Standard Class,AM-10360,OFF-PA-10001950,Office Supplies,Paper,3,6.26,20,20.02
CA-2015-102281,2015-10-12,First Class,MP-17470,FUR-BO-10002613,Furniture,Bookcases,4,112.39,20,899.14
CA-2015-102281,2015-10-12,First Class,MP-17470,TEC-PH-10001552,Technology,Phones,6,20.09,0,71.76
CA-2015-102281,2015-10-12,First Class,MP-17470,OFF-PA-10000061,Office Supplies,Paper,8,24.88,0,51.84
CA-2015-102281,2015-10-12,First Class,MP-17470,FUR-BO-10002545,Furniture,Bookcases,3,46.98,20,626.35
CA-2015-102281,2015-10-12,First Class,MP-17470,OFF-AR-10003514,Office Supplies,Art,5,6.57,0,19.9
CA-2015-131457,2015-10-31,Standard Class,MZ-17515,OFF-EN-10001509,Office Supplies,Envelopes,7,6.71,0,14.28
CA-2014-140004,2014-03-21,Standard Class,CB-12025,OFF-AR-10004685,Office Supplies,Art,2,1.2,20,7.41
CA-2014-140004,2014-03-21,Standard Class,CB-12025,OFF-AR-10004027,Office Supplies,Art,3,1.59,20,6.05
CA-2017-107720,2017-11-06,Standard Class,VM-21685,OFF-ST-10001414,Office Supplies,Storage,3,12.03,0,46.26
US-2017-124303,2017-07-06,Standard Class,FH-14365,OFF-BI-10000343,Office Supplies,Binders,2,-2.26,70,2.95
US-2017-124303,2017-07-06,Standard Class,FH-14365,OFF-PA-10002749,Office Supplies,Paper,3,5.82,20,16.06
CA-2017-105074,2017-06-24,Standard Class,MB-17305,OFF-PA-10002666,Office Supplies,Paper,3,6.8,20,21.74
CA-2014-133690,2014-08-03,First Class,BS-11755,FUR-TA-10004289,Furniture,Tables,2,-161.88,50,218.75
CA-2014-133690,2014-08-03,First Class,BS-11755,OFF-AP-10003622,Office Supplies,Appliances,1,0.29,20,2.6
US-2017-116701,2017-12-17,Second Class,LC-17140,OFF-AP-10003217,Office Supplies,Appliances,2,-178.97,80,66.28
CA-2017-126382,2017-06-03,Standard Class,HK-14890,FUR-FU-10002960,Furniture,Furnishings,7,9.67,20,35.17
CA-2017-108329,2017-12-09,Standard Class,LE-16810,TEC-PH-10001918,Technology,Phones,4,44.48,20,444.77
CA-2017-135860,2017-12-01,Standard Class,JH-15985,OFF-ST-10000642,Office Supplies,Storage,4,5.87,0,83.92
CA-2017-135860,2017-12-01,Standard Class,JH-15985,TEC-PH-10001700,Technology,Phones,2,35.63,0,131.98
CA-2017-135860,2017-12-01,Standard Class,JH-15985,OFF-BI-10003274,Office Supplies,Binders,4,7.48,0,15.92
CA-2017-135860,2017-12-01,Standard Class,JH-15985,OFF-FA-10000134,Office Supplies,Fasteners,9,16.21,0,52.29
CA-2017-135860,2017-12-01,Standard Class,JH-15985,OFF-ST-10001522,Office Supplies,Storage,1,3.68,0,91.99
CA-2015-101007,2015-02-09,Second Class,MS-17980,TEC-AC-10001266,Technology,Accessories,2,6.5,20,20.8
CA-2015-146262,2015-01-02,Standard Class,VW-21775,OFF-LA-10004544,Office Supplies,Labels,2,8.88,20,23.68
CA-2015-146262,2015-01-02,Standard Class,VW-21775,FUR-BO-10004695,Furniture,Bookcases,5,-244.32,50,452.45
CA-2015-146262,2015-01-02,Standard Class,VW-21775,TEC-PH-10002844,Technology,Phones,3,-14.7,40,62.98
CA-2015-146262,2015-01-02,Standard Class,VW-21775,TEC-MA-10000864,Technology,Machines,9,-950.4,70,1188.0
CA-2015-146262,2015-01-02,Standard Class,VW-21775,TEC-AC-10000109,Technology,Accessories,2,4.48,20,89.58
CA-2016-130162,2016-10-28,Standard Class,JH-15910,OFF-ST-10001328,Office Supplies,Storage,6,26.06,0,93.06
CA-2016-130162,2016-10-28,Standard Class,JH-15910,TEC-PH-10002563,Technology,Phones,3,22.68,20,302.38
CA-2015-169397,2015-12-24,First Class,JB-15925,OFF-FA-10000585,Office Supplies,Fasteners,2,1.81,20,5.58
CA-2015-169397,2015-12-24,First Class,JB-15925,OFF-PA-10004000,Office Supplies,Paper,6,8.23,20,22.7
CA-2015-169397,2015-12-24,First Class,JB-15925,OFF-BI-10002852,Office Supplies,Binders,4,-13.84,70,19.78
CA-2015-169397,2015-12-24,First Class,JB-15925,FUR-FU-10000087,Furniture,Furnishings,4,19.08,20,72.7
CA-2015-169397,2015-12-24,First Class,JB-15925,TEC-MA-10001148,Technology,Machines,4,-383.99,70,479.99
CA-2015-169397,2015-12-24,First Class,JB-15925,OFF-AR-10001958,Office Supplies,Art,2,2.72,20,27.17
CA-2015-163055,2015-08-09,Standard Class,DS-13180,OFF-AR-10001026,Office Supplies,Art,1,0.97,0,2.2
CA-2015-163055,2015-08-09,Standard Class,DS-13180,FUR-TA-10003748,Furniture,Tables,5,136.94,0,622.45
CA-2015-163055,2015-08-09,Standard Class,DS-13180,OFF-ST-10002485,Office Supplies,Storage,1,0.22,0,21.98
